Timestamp,RSS (MB),Shared (MB),User CPU Time (s),System CPU Time (s),Voluntary Context Switches,Involuntary Context Switches
1732300568.264061,35.61328125,27.7734375,51.82,0.27,191,325
1732300568.314155,35.61328125,27.7734375,51.87,0.27,191,325
1732300568.3642716,35.61328125,27.7734375,51.92,0.27,191,325
1732300568.4143977,35.61328125,27.7734375,51.97,0.27,191,325
1732300568.4644775,35.61328125,27.7734375,52.02,0.27,191,325
1732300568.5146236,35.61328125,27.7734375,52.07,0.27,191,326
1732300568.5647533,35.61328125,27.7734375,52.12,0.27,191,326
1732300568.6148179,35.61328125,27.7734375,52.17,0.27,191,326
1732300568.6649325,35.61328125,27.7734375,52.22,0.27,191,326
1732300568.7150693,35.61328125,27.7734375,52.26,0.27,191,326
1732300568.765073,35.61328125,27.7734375,52.32,0.27,191,326
1732300568.8152692,35.61328125,27.7734375,52.36,0.27,191,326
1732300568.8653507,35.61328125,27.7734375,52.42,0.27,191,326
1732300568.9154518,35.61328125,27.7734375,52.46,0.28,191,326
1732300568.9655945,35.61328125,27.7734375,52.51,0.28,191,326
1732300569.0156837,35.61328125,27.7734375,52.56,0.28,191,326
1732300569.0657754,35.61328125,27.7734375,52.61,0.28,191,327
1732300569.1159654,35.61328125,27.7734375,52.66,0.28,191,327
1732300569.1667578,35.61328125,27.7734375,52.71,0.28,191,334
1732300569.216858,35.61328125,27.7734375,52.76,0.28,191,344
1732300569.266964,35.61328125,27.7734375,52.81,0.28,191,357
1732300569.317078,35.61328125,27.7734375,52.85,0.28,191,378
1732300569.3673177,35.61328125,27.7734375,52.9,0.28,191,382
1732300569.4174392,35.61328125,27.7734375,52.95,0.28,191,383
1732300569.4675767,35.61328125,27.7734375,53.0,0.28,191,383
1732300569.5176744,35.61328125,27.7734375,53.05,0.28,191,384
1732300569.5678515,35.61328125,27.7734375,53.1,0.28,191,386
1732300569.6179385,35.61328125,27.7734375,53.15,0.28,191,387
1732300569.6678693,35.61328125,27.7734375,53.2,0.29,191,388
1732300569.7181268,35.61328125,27.7734375,53.25,0.29,191,389
1732300569.7680123,35.61328125,27.7734375,53.3,0.29,191,389
1732300569.8182778,35.61328125,27.7734375,53.35,0.29,191,390
1732300569.8684807,35.61328125,27.7734375,53.4,0.29,191,393
1732300569.9185855,35.61328125,27.7734375,53.45,0.29,191,394
1732300569.9688454,35.61328125,27.7734375,53.5,0.29,191,395
1732300570.0188954,35.61328125,27.7734375,53.55,0.29,191,397
1732300570.069057,35.61328125,27.7734375,53.61,0.29,191,398
1732300570.1191409,35.61328125,27.7734375,53.65,0.29,191,398
1732300570.169259,35.61328125,27.7734375,53.71,0.29,191,399
1732300570.2193859,35.61328125,27.7734375,53.75,0.29,191,400
1732300570.269515,35.61328125,27.7734375,53.81,0.29,191,401
1732300570.3196394,35.61328125,27.7734375,53.85,0.29,191,402
1732300570.3697,35.61328125,27.7734375,53.91,0.29,191,403
1732300570.4198592,35.61328125,27.7734375,53.96,0.29,191,403
1732300570.4699364,35.61328125,27.7734375,54.01,0.29,191,404
1732300570.5200305,35.61328125,27.7734375,54.06,0.29,191,406
1732300570.570222,35.61328125,27.7734375,54.11,0.29,191,407
1732300570.6203382,35.61328125,27.7734375,54.16,0.29,191,408
1732300570.6703436,35.61328125,27.7734375,54.21,0.29,191,409
1732300570.7204285,35.61328125,27.7734375,54.25,0.29,191,410
1732300570.770594,35.61328125,27.7734375,54.31,0.29,192,410
1732300570.8207648,35.61328125,27.7734375,54.35,0.29,192,411
1732300570.8709207,35.61328125,27.7734375,54.41,0.29,192,412
1732300570.9210906,35.61328125,27.7734375,54.46,0.29,192,413
1732300570.9711688,35.61328125,27.7734375,54.51,0.29,192,414
1732300571.021321,35.61328125,27.7734375,54.56,0.29,192,415
1732300571.0714626,35.61328125,27.7734375,54.61,0.29,192,416
1732300571.1215873,35.61328125,27.7734375,54.66,0.29,192,416
1732300571.1716826,35.61328125,27.7734375,54.71,0.29,192,417
1732300571.2218008,35.61328125,27.7734375,54.76,0.29,192,418
1732300571.2718935,35.61328125,27.7734375,54.81,0.29,192,419
1732300571.3220499,35.61328125,27.7734375,54.86,0.29,192,420
1732300571.3721764,35.61328125,27.7734375,54.91,0.29,192,421
1732300571.4223025,35.61328125,27.7734375,54.95,0.3,192,422
1732300571.472422,35.61328125,27.7734375,55.0,0.3,192,423
1732300571.522536,35.61328125,27.7734375,55.06,0.3,192,425
1732300571.5727181,35.61328125,27.7734375,55.1,0.3,192,426
1732300571.6228375,35.61328125,27.7734375,55.16,0.3,192,427
1732300571.6729822,35.61328125,27.7734375,55.21,0.3,192,428
1732300571.7230456,35.61328125,27.7734375,55.26,0.3,192,430
1732300571.7731824,35.61328125,27.7734375,55.31,0.3,192,431
1732300571.8232365,35.61328125,27.7734375,55.36,0.3,192,431
1732300571.8735752,35.61328125,27.7734375,55.41,0.3,192,432
1732300571.923619,35.61328125,27.7734375,55.46,0.3,192,433
1732300571.973757,35.61328125,27.7734375,55.51,0.3,192,434
1732300572.0238497,35.61328125,27.7734375,55.56,0.3,192,435
1732300572.0740075,35.61328125,27.7734375,55.61,0.3,192,436
1732300572.1242328,35.61328125,27.7734375,55.66,0.3,192,437
1732300572.174261,35.61328125,27.7734375,55.71,0.3,192,437
